bigram,frequency,bigrams
"('romeo', 'hotel')",38,romeo hotel
"('front', 'desk')",21,front desk
"('michelin', 'star')",19,michelin star
"('rooftop', 'pool')",18,rooftop pool
"('staff', 'friendly')",17,staff friendly
"('star', 'hotel')",16,star hotel
"('hotel', 'staff')",16,hotel staff
"('star', 'restaurant')",16,star restaurant
"('9th', 'floor')",14,9th floor
"('cruise', 'ships')",14,cruise ships
"('breakfast', 'buffet')",14,breakfast buffet
"('hotel', 'romeo')",14,hotel romeo
"('friendly', 'helpful')",14,friendly helpful
"('bay', 'naples')",13,bay naples
"('stay', 'hotel')",12,stay hotel
"('amalfi', 'coast')",12,amalfi coast
"('walking', 'distance')",12,walking distance
"('staff', 'helpful')",12,staff helpful
"('one', 'best')",12,one best
"('view', 'room')",11,view room
"('great', 'location')",11,great location
"('hotel', 'beautiful')",11,hotel beautiful
"('one', 'night')",11,one night
"('great', 'view')",10,great view
"('hotel', 'clean')",10,hotel clean
"('beautiful', 'hotel')",10,beautiful hotel
"('excellent', 'service')",9,excellent service
"('view', 'port')",9,view port
"('well', 'appointed')",9,well appointed
"('recommend', 'hotel')",9,recommend hotel
"('hotel', 'naples')",9,hotel naples
"('hotel', 'great')",9,hotel great
"('would', 'definitely')",9,would definitely
"('floor', 'restaurant')",9,floor restaurant
"('stay', 'romeo')",9,stay romeo
"('stay', 'naples')",8,stay naples
"('pool', 'area')",8,pool area
"('hotel', 'amazing')",8,hotel amazing
"('good', 'location')",8,good location
"('five', 'star')",8,five star
"('would', 'stay')",8,would stay
"('location', 'great')",8,location great
"('staff', 'great')",7,staff great
"('modern', 'hotel')",7,modern hotel
"('top', 'notch')",7,top notch
"('view', 'bay')",7,view bay
"('room', 'service')",7,room service
"('rooms', 'clean')",7,rooms clean
"('lobby', 'bar')",7,lobby bar
"('helpful', 'staff')",7,helpful staff
"('top', 'floor')",7,top floor
"('well', 'equipped')",7,well equipped
"('hotel', 'modern')",7,hotel modern
"('desk', 'staff')",7,desk staff
"('come', 'back')",6,come back
"('junior', 'suite')",6,junior suite
"('friendly', 'staff')",6,friendly staff
"('highly', 'recommend')",6,highly recommend
"('naples', 'staff')",6,naples staff
"('clean', 'modern')",6,clean modern
"('best', 'hotel')",6,best hotel
"('food', 'good')",6,food good
"('back', 'naples')",6,back naples
"('mount', 'vesuvius')",6,mount vesuvius
"('luxury', 'hotel')",6,luxury hotel
"('naples', 'hotel')",6,naples hotel
"('staff', 'accommodating')",6,staff accommodating
"('great', 'hotel')",6,great hotel
"('excellent', 'hotel')",6,excellent hotel
"('location', 'perfect')",6,location perfect
"('stayed', 'nights')",6,stayed nights
"('hotel', 'close')",6,hotel close
"('bar', 'pool')",6,bar pool
"('hotel', 'room')",6,hotel room
"('hotel', 'stay')",6,hotel stay
"('staff', 'really')",6,staff really
"('turn', 'service')",6,turn service
"('good', 'service')",6,good service
"('hotel', 'good')",6,hotel good
"('helpful', 'friendly')",6,helpful friendly
"('restaurant', 'top')",6,restaurant top
"('roof', 'top')",5,roof top
"('upon', 'arrival')",5,upon arrival
"('city', 'center')",5,city center
"('comfortable', 'beds')",5,comfortable beds
"('around', 'hotel')",5,around hotel
"('stayed', 'romeo')",5,stayed romeo
"('place', 'stay')",5,place stay
"('last', 'night')",5,last night
"('minute', 'walk')",5,minute walk
"('ultra', 'modern')",5,ultra modern
"('bar', 'restaurant')",5,bar restaurant
"('service', 'great')",5,service great
"('back', 'hotel')",5,back hotel
"('cruise', 'ship')",5,cruise ship
"('hotel', 'well')",5,hotel well
"('design', 'hotel')",5,design hotel
"('two', 'nights')",5,two nights
"('harbor', 'view')",5,harbor view
"('fabulous', 'hotel')",5,fabulous hotel
"('staff', 'breakfast')",5,staff breakfast
"('high', 'standard')",5,high standard
"('every', 'time')",5,every time
"('wellness', 'room')",5,wellness room
"('harbour', 'view')",5,harbour view
"('small', 'pool')",5,small pool
"('great', 'service')",5,great service
"('across', 'street')",5,across street
"('hotel', 'really')",5,hotel really
"('felt', 'like')",5,felt like
"('time', 'naples')",5,time naples
"('train', 'station')",5,train station
"('ferry', 'terminal')",5,ferry terminal
"('10th', 'floor')",5,10th floor
"('staff', 'nice')",5,staff nice
"('vesuvius', 'capri')",5,vesuvius capri
"('location', 'close')",5,location close
"('definitely', 'stay')",5,definitely stay
"('view', 'harbour')",5,view harbour
"('rooms', 'nice')",5,rooms nice
"('sound', 'proofing')",4,sound proofing
"('stayed', 'two')",4,stayed two
"('close', 'port')",4,close port
"('service', 'excellent')",4,service excellent
"('even', 'though')",4,even though
"('room', 'clean')",4,room clean
"('hotel', 'excellent')",4,hotel excellent
"('room', 'nice')",4,room nice
"('every', 'day')",4,every day
"('included', 'room')",4,included room
"('experience', 'hotel')",4,experience hotel
"('breakfast', 'great')",4,breakfast great
"('really', 'nice')",4,really nice
"('wonderful', 'experience')",4,wonderful experience
"('spa', 'great')",4,spa great
"('views', 'vesuvius')",4,views vesuvius
"('great', 'restaurant')",4,great restaurant
"('helpful', 'attentive')",4,helpful attentive
"('staff', 'lovely')",4,staff lovely
"('excellent', 'staff')",4,excellent staff
"('corner', 'suite')",4,corner suite
"('enjoyable', 'stay')",4,enjoyable stay
"('night', 'stay')",4,night stay
"('well', 'worth')",4,well worth
"('lighting', 'system')",4,lighting system
"('restaurant', 'breakfast')",4,restaurant breakfast
"('walk', 'around')",4,walk around
"('within', 'walking')",4,within walking
"('nice', 'hotel')",4,nice hotel
"('breakfast', 'delicious')",4,breakfast delicious
"('would', 'want')",4,would want
"('restaurant', 'service')",4,restaurant service
"('rooftop', 'bar')",4,rooftop bar
"('great', 'experience')",4,great experience
"('rooms', 'modern')",4,rooms modern
"('buffet', 'breakfast')",4,buffet breakfast
"('bed', 'comfortable')",4,bed comfortable
"('comfortable', 'well')",4,comfortable well
"('size', 'bed')",4,size bed
"('spa', 'nice')",4,spa nice
"('ferry', 'capri')",4,ferry capri
"('hotel', 'hotel')",4,hotel hotel
"('location', 'hotel')",4,location hotel
"('restaurant', 'nice')",4,restaurant nice
"('minutes', 'walk')",4,minutes walk
"('conveniently', 'located')",4,conveniently located
"('hotel', 'perfect')",4,hotel perfect
"('nights', 'romeo')",4,nights romeo
"('perfect', 'place')",4,perfect place
"('nice', 'view')",4,nice view
"('would', 'recommend')",4,would recommend
"('staying', 'naples')",4,staying naples
"('view', 'vesuvius')",4,view vesuvius
"('modern', 'clean')",4,modern clean
"('lovely', 'stay')",4,lovely stay
"('spa', 'gym')",4,spa gym
"('lovely', 'hotel')",4,lovely hotel
"('next', 'day')",4,next day
"('view', 'harbor')",4,view harbor
"('star', 'hotels')",4,star hotels
"('could', 'see')",4,could see
"('pool', 'great')",4,pool great
"('view', 'restaurant')",4,view restaurant
"('restaurant', '10th')",4,restaurant 10th
"('hotel', 'rooms')",4,hotel rooms
"('wait', 'staff')",4,wait staff
"('next', 'time')",4,next time
"('hotel', 'service')",4,hotel service
"('pool', 'small')",4,pool small
"('king', 'size')",4,king size
"('valet', 'parking')",4,valet parking
"('hotel', 'view')",4,hotel view
"('taking', 'ferry')",4,taking ferry
"('breakfast', 'top')",4,breakfast top
"('old', 'city')",4,old city
"('staff', 'excellent')",4,staff excellent
"('staff', 'amazing')",4,staff amazing
"('nothing', 'much')",4,nothing much
"('staff', 'hotel')",4,staff hotel
"('hotel', 'lovely')",4,hotel lovely
"('beluga', 'restaurant')",3,beluga restaurant
"('great', 'staff')",3,great staff
"('hotels', 'naples')",3,hotels naples
"('first', 'time')",3,first time
"('views', 'bay')",3,views bay
"('hotel', 'nice')",3,hotel nice
"('romeo', 'naples')",3,romeo naples
"('staff', 'everyone')",3,staff everyone
"('make', 'stay')",3,make stay
"('say', 'enough')",3,say enough
"('staying', 'romeo')",3,staying romeo
"('time', 'room')",3,time room
"('hotel', 'friendly')",3,hotel friendly
"('day', 'trips')",3,day trips
"('industrial', 'port')",3,industrial port
"('modern', 'art')",3,modern art
"('spanish', 'quarter')",3,spanish quarter
"('sorrento', 'capri')",3,sorrento capri
"('one', 'day')",3,one day
"('lovely', 'room')",3,lovely room
"('room', 'view')",3,room view
"('pool', 'roof')",3,pool roof
"('helpful', 'breakfast')",3,helpful breakfast
"('boutique', 'hotel')",3,boutique hotel
"('rooms', 'beautiful')",3,rooms beautiful
"('staff', 'outstanding')",3,staff outstanding
"('restaurant', 'excellent')",3,restaurant excellent
"('good', 'restaurants')",3,good restaurants
"('room', 'spa')",3,room spa
"('outdoor', 'pool')",3,outdoor pool
"('new', 'castle')",3,new castle
"('morning', 'flight')",3,morning flight
"('stayed', 'night')",3,stayed night
"('pool', 'gym')",3,pool gym
"('nice', 'nice')",3,nice nice
"('room', 'restaurant')",3,room restaurant
"('comfortable', 'bed')",3,comfortable bed
"('excellent', 'choice')",3,excellent choice
"('water', 'pressure')",3,water pressure
"('best', 'hotels')",3,best hotels
"('beautiful', 'property')",3,beautiful property
"('hotel', 'last')",3,hotel last
"('staff', 'front')",3,staff front
"('best', 'ever')",3,best ever
"('service', 'pool')",3,service pool
"('room', 'large')",3,room large
"('overall', 'great')",3,overall great
"('spend', 'time')",3,spend time
"('breakfast', 'dinner')",3,breakfast dinner
"('extremely', 'helpful')",3,extremely helpful
"('friendly', 'hotel')",3,friendly hotel
"('spacious', 'clean')",3,spacious clean
"('spa', 'facilities')",3,spa facilities
"('stay', 'one')",3,stay one
"('use', 'spa')",3,use spa
"('quite', 'small')",3,quite small
"('great', 'recommendations')",3,great recommendations
"('want', 'visit')",3,want visit
"('room', 'comfortable')",3,room comfortable
"('amazing', 'views')",3,amazing views
"('amazing', 'service')",3,amazing service
"('day', 'trip')",3,day trip
"('make', 'sure')",3,make sure
"('room', 'spacious')",3,room spacious
"('star', 'experience')",3,star experience
"('across', 'port')",3,across port
