review_title,review_rating,review_date,review_body
"courteous and polite staff.Housekeeping and dine in room service staff, really appreciate your service.love the ambience",40,Date of stay: July 2023,"courteous and polite staff.Housekeeping and dine in room service staff, really appreciate your service.love the ambience hospitality every thing.i met with Shazia she was kind or good . thank you Shazia .or hotel the royal plaza .ee had good experience with you"
Very kindly staff,50,Date of stay: July 2023,"Royal plaza is very amazing, it's a pleasure of mine to stay here. It's just such a magic place. Staff was very humble and very helpful . Thank you so much for your warm welcome and flawless presence. Thank you royal plaza for making my Indian trip a memorable and precious experience"
Good service,50,Date of stay: July 2023,We stayed here for 2 night . We had great experiences with hotel or hotel staff is so good or polite i never seen this type of hospitality . If i will come delhi i will here definitely .we met with shazia we was very nice girl thanks shazia❤️❤️
Mrs. Universe show in Royal plaza,50,Date of stay: July 2023,"I came to royal plaza for the audition of Mrs. Univers and must say that the hotel beauty is on top.
We had great time in that hotel
Banquets was very well maintained
Thanks to my entire team who made me to come Royal plaza
Also simran is interactive"
Corporate Event in June '23,50,Date of stay: June 2023,We did a corporate event with 125 pax at The Royal Plaza Delhi on 24th June'23 and are 100% satisfied with the quality of services. Banquet Manager was extremely helpful and even handled some last minute requirements from our side. Food and hospitality was up to the mark... Really recommend The Royal Plaza Delhi to all.
The Music is what gets you,50,Date of stay: March 2023,"Amazing ambience, rooms to stay in, food and specially the music being played in the entrance corridor by Fabio Ferns that caught my attention and made me watch the performance from the start tot he end, it was an amazing experience, would recommend!"
A Grand hotel for Tourists,30,Date of stay: June 2023,"Royal Plaza is located very near to India Gate. A quiet neighbourhood. Antiques in the lobby. On some days , their antique piano is played in the evening. A comfortable hotel with very supportive housekeeping staff. Sumptuous Breakfast spread with attentive staff. They have a garden area and pool with a Microbrewery. Overall a grand looking Hotel. Excellent for doing morning walks to India Gate.

But I feel they are mostly tuned to catering to Tour groups. All rooms payments are taken in advance at Check In, all room service / Laundry
have to be paid then and there---all not usually practiced for Corporate customers. The main draw back is the reception staff who are mechanical. At Check In they dont brief you on what services you get as part of your package. You might end up missing out on Complimentary dinner which ""might"" be actually part of your package.

Rooms are rather small ."
Superb experience till now.,50,Date of stay: June 2023,"Stayed 2 days here and the experience was superb and planning to stay more here in my next visit. Break fast is good and room service is also good , staff very co operative and rates also compatible."
Wonderful experience.,50,Date of stay: June 2023,"Wonderful place to stay, service was perfect, hotel team friendly and accommodating an that has impressed us most , we would not dream of staying anywhere other than royal plaza when we are an in india . All the staff were amazing. Thank you so much for makings me feel comfortable."
Lovely Music in the Lobby,50,Date of stay: December 2022,"The rooms were perfectly sized with clean bathrooms. Had a wonderful dip in the pool with absolutely gorgeous ambiance made perfect by the dulcet tones of Fabio, the pianist! Made me want to just stay in the lobby, thanks to Fabio."
Delightful Piano Music,50,Date of stay: December 2022,I was actually there in December 2019 and had a great time overall. Still left with the fond memory of enjoying Fabio’s piano music for an hour in the lobby. I was tired from a long day of work but his music made my whole trip. Thank you Fabio!
Wonderful experience,50,Date of stay: June 2023,Yesterday im checked out of hotel the royal plaza new delhi . Our experience was nothing less than fantastic i treid pool . I enjoy a lot there also i trid food form here it’s so delicious 🤤 i tried red souce pasta 🍝 i enjoy a lot here .hotel look so royal
Amazing experience,50,Date of stay: June 2023,First off all I share the hotel beauty .hotel the royal plaza it’s name is also beautiful .hotel look royal .and service is also fast ne good if I talk abato houseking department people it’s helpful . Front office people they good .I tried Dal makhni is good ❤️ food is delicious
Good stay,50,Date of stay: June 2023,I really like the management prosses and it is really good ….i feel really good in my vacations …and the view was nice .hotel beautiful look royal .food is so delicious . One of my fav Biryani i never tried this much testy biryani form here
Good stay,50,Date of stay: June 2023,"I loved the hospitality at this hotel. The facility is Royal as the name suggests, and has a magnificent ambience. The reception staff checked me on quickly and I was given a pool facing room.
Shazia gave me a warm and pleasant welcome at the hotel lobby and explained the hotel amenities and services which made me feel comfortable and reassured.
The restaurant serves excellent breakfast spread of fruits, South Indian,.north Indian and continental. I would highly recommend this hotel for both short and long stays."
great experience.,50,Date of stay: June 2023,"very comfortable and good experience . very helpful staff , services was very good . especially thanks to simran and sazia was good attendant . good food . nice place highly recommended to all of you . thank you so much making me feel very comfortable."
Great experience,50,Date of stay: June 2023,"Hotel royal plaza is very amazing with his hospitality and the rooms are very beautiful. Entire staff was wonderful and good.i was staying in the hotel with friends and we reached after a long journey from patiala . Lobby decor was soothing and grand.they have onyx pillars in the lobby which is really Royal.staff at reception was warm and cordial.Room was given on 9th floor with a good view .we felt welcomed and were comfortable during our stay here .
Next time I will bring my family also to enjoy the place and it's hospitality."
Good stay,50,Date of stay: June 2023,Hotel royal plaza is one of best hotel . Everyone having good nature they are humble . Service is so good. Again we will visit .pool area is so clean . If I’m talk about food is so good so delicious . The way of serving food is so royal
Excellent,50,Date of stay: June 2023,Mukesh chandra gave us a very homely treatment you can reach out to him anytime you want he is super friendly and this hotel was such a nice experience do visit and enjoy the pool side at night thank you
Stay was amazing,50,Date of stay: June 2023,The Royal Palaza Hotel served us the best food ever. Also the place is hell maintened with good hygiene. We are satisfied with everything with whatever they served us. Atmosphere is very good. Thank you
Amazing hotel Royal plaza,50,Date of stay: May 2023,"I stayed for 3 nights in hotel Royal plaza, delhi. The food was very good and had lot of varieties. The behaviour of staff was excellent. I felt like staying in home. Also, the location was the best. The pool was clean and everyone was Kind and helpful. I have enjoyed my trip."
Beautiful hotel,50,Date of stay: May 2023,"We had a delightful evening at this hotel , where everything was superb from start to finish. The food was very delicious and beautifully presented, with a variety of dishes to suit every taste . The staff was very professionally and helpful. We are a great ful for a such a wonderful dining experience and we can't wait to come back again."
Regular at Royal Plaza Hotel,50,Date of stay: May 2023,"I always come to this hotel I just love the hotel view
My guest is also visit to this hotel for meeting they also like the hotel very much and we always had a great meeting with my guest.
Please do visit this hotel
Coffee shop in lobby is with amazing pastries and bakery items"
F &B sarvice exllent,50,Date of stay: May 2023,Its was short and sweet trip which was taken care of stefen who make sure we get our rooms on time and other necessary items tooo food was also good 😊 especially breakfast 🥞 buffet high tea was their forte try not to miss it
F&B sarvice very nyc thank uuu,50,Date of stay: May 2023,The service is unsurpassed at the royal plaza hotel 🏨 in new delhi our 1st stay here was magnificent and memorable thanks to the stafff specially jannat at this property elaa who made our stat so very special the food 🥑🥝 as was the dinner and the buffet breakfast 🥞 we recommend this hotel when visiting new delhi
